Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1904,-0.68,-0.59,-0.51,-0.54,-0.55,-0.51,-0.53,-0.5,-0.52,-0.4,-0.21,-0.35
1905,-0.4,-0.59,-0.22,-0.36,-0.33,-0.3,-0.29,-0.22,-0.18,-0.25,-0.1,-0.18
1906,-0.28,-0.3,-0.16,-0.04,-0.24,-0.21,-0.25,-0.2,-0.27,-0.19,-0.38,-0.16
1907,-0.41,-0.51,-0.27,-0.38,-0.47,-0.43,-0.36,-0.35,-0.33,-0.24,-0.48,-0.48
1908,-0.43,-0.3,-0.53,-0.45,-0.41,-0.41,-0.39,-0.46,-0.35,-0.44,-0.49,-0.49
1909,-0.68,-0.47,-0.51,-0.6,-0.56,-0.52,-0.44,-0.3,-0.35,-0.36,-0.3,-0.55
1910,-0.44,-0.44,-0.5,-0.4,-0.34,-0.37,-0.34,-0.35,-0.36,-0.38,-0.53,-0.66
1911,-0.63,-0.58,-0.6,-0.53,-0.51,-0.47,-0.41,-0.41,-0.37,-0.23,-0.18,-0.22
1912,-0.26,-0.12,-0.35,-0.2,-0.22,-0.26,-0.44,-0.54,-0.51,-0.56,-0.38,-0.43
1913,-0.41,-0.43,-0.43,-0.39,-0.47,-0.48,-0.36,-0.33,-0.35,-0.33,-0.18,-0.03
1914,0.04,-0.11,-0.22,-0.29,-0.23,-0.26,-0.24,-0.14,-0.13,-0.04,-0.17,-0.08
1915,-0.17,0,-0.09,0.06,-0.06,-0.2,-0.1,-0.19,-0.16,-0.24,-0.12,-0.16
1916,-0.08,-0.12,-0.28,-0.3,-0.32,-0.46,-0.36,-0.25,-0.31,-0.27,-0.39,-0.8
1917,-0.58,-0.61,-0.6,-0.5,-0.55,-0.43,-0.25,-0.21,-0.17,-0.4,-0.28,-0.67
1918,-0.41,-0.31,-0.24,-0.45,-0.45,-0.35,-0.31,-0.29,-0.14,-0.05,-0.1,-0.27
1919,-0.19,-0.22,-0.19,-0.12,-0.27,-0.36,-0.28,-0.31,-0.21,-0.18,-0.4,-0.4
1920,-0.21,-0.21,-0.07,-0.25,-0.26,-0.35,-0.3,-0.23,-0.18,-0.26,-0.26,-0.43
1921,-0.01,-0.18,-0.22,-0.29,-0.28,-0.27,-0.14,-0.23,-0.16,-0.02,-0.12,-0.16
1922,-0.33,-0.43,-0.12,-0.23,-0.33,-0.32,-0.24,-0.3,-0.31,-0.31,-0.13,-0.18
1923,-0.28,-0.36,-0.34,-0.39,-0.34,-0.25,-0.29,-0.29,-0.27,-0.11,0.02,-0.02
1924,-0.21,-0.23,-0.06,-0.31,-0.18,-0.22,-0.25,-0.33,-0.3,-0.33,-0.19,-0.41
1925,-0.36,-0.37,-0.24,-0.24,-0.3,-0.32,-0.27,-0.15,-0.15,-0.17,0.05,0.09
1926,0.2,0.07,0.12,-0.12,-0.21,-0.22,-0.23,-0.12,-0.12,-0.09,-0.04,-0.27
1927,-0.26,-0.17,-0.36,-0.3,-0.24,-0.25,-0.15,-0.2,-0.1,0,-0.02,-0.32
1928,0,-0.07,-0.26,-0.27,-0.29,-0.37,-0.18,-0.21,-0.18,-0.16,-0.08,-0.17
1929,-0.46,-0.59,-0.31,-0.39,-0.38,-0.4,-0.32,-0.29,-0.22,-0.12,-0.11,-0.53
1930,-0.3,-0.27,-0.08,-0.24,-0.23,-0.2,-0.19,-0.12,-0.12,-0.08,0.17,-0.06
1931,-0.1,-0.23,-0.07,-0.21,-0.19,-0.07,-0.02,-0.03,-0.06,0.02,-0.11,-0.09
1932,0.14,-0.18,-0.19,-0.06,-0.19,-0.3,-0.24,-0.23,-0.11,-0.11,-0.26,-0.25
1933,-0.34,-0.34,-0.3,-0.25,-0.29,-0.33,-0.21,-0.24,-0.27,-0.21,-0.29,-0.46
1934,-0.24,-0.04,-0.33,-0.3,-0.11,-0.15,-0.1,-0.11,-0.16,-0.08,0.03,-0.04
1935,-0.33,0.15,-0.13,-0.36,-0.3,-0.27,-0.23,-0.22,-0.21,-0.08,-0.28,-0.2
1936,-0.29,-0.39,-0.22,-0.2,-0.18,-0.21,-0.09,-0.14,-0.1,-0.04,-0.04,-0.03
1937,-0.13,0.03,-0.18,-0.17,-0.08,-0.05,-0.05,0.01,0.11,0.08,0.09,-0.12
1938,0.01,-0.02,0.07,0.04,-0.1,-0.18,-0.1,-0.06,0.02,0.11,0.04,-0.22
1939,-0.08,-0.08,-0.2,-0.1,-0.06,-0.08,-0.08,-0.08,-0.07,-0.03,0.06,0.44
1940,-0.06,0.13,0.15,0.18,0.09,0.08,0.12,0.04,0.13,0.07,0.17,0.27
1941,0.21,0.32,0.08,0.17,0.14,0.11,0.21,0.14,0.02,0.33,0.24,0.2
1942,0.26,0.02,0.09,0.1,0.09,0.04,0,-0.04,-0.05,-0.01,0.08,0.07
1943,-0.04,0.13,-0.08,0.07,0.04,-0.06,0.08,0,0.06,0.22,0.19,0.24
1944,0.35,0.26,0.26,0.19,0.19,0.2,0.18,0.17,0.29,0.26,0.1,0.02
1945,0.1,-0.02,0.06,0.18,0.04,-0.01,0.02,0.26,0.22,0.18,0.07,-0.09
1946,0.15,0.07,0,0.06,-0.08,-0.21,-0.14,-0.17,-0.07,-0.06,-0.06,-0.35
1947,-0.13,-0.08,0.07,0.07,-0.04,0.02,-0.08,-0.09,-0.13,0.05,0.02,-0.16
1948,0.07,-0.16,-0.25,-0.11,0.01,-0.04,-0.12,-0.12,-0.11,-0.07,-0.12,-0.23
1949,0.09,-0.17,-0.02,-0.1,-0.08,-0.23,-0.14,-0.11,-0.14,-0.06,-0.1,-0.22
1950,-0.33,-0.28,-0.07,-0.2,-0.1,-0.03,-0.1,-0.16,-0.12,-0.22,-0.38,-0.2
1951,-0.35,-0.43,-0.21,-0.13,0,-0.02,0.03,0.06,0.09,0.05,-0.02,0.14
1952,0.13,0.11,-0.1,0.02,-0.02,-0.04,0.04,0.04,0.07,0,-0.14,-0.01
1953,0.08,0.14,0.11,0.18,0.09,0.1,0,0.06,0.04,0.06,-0.06,0.02
1954,-0.28,-0.13,-0.15,-0.16,-0.22,-0.17,-0.19,-0.16,-0.1,-0.04,0.06,-0.22
1955,0.14,-0.18,-0.35,-0.22,-0.21,-0.12,-0.13,0.01,-0.11,-0.05,-0.24,-0.3
1956,-0.16,-0.26,-0.23,-0.27,-0.31,-0.16,-0.12,-0.26,-0.2,-0.24,-0.17,-0.08
1957,-0.11,-0.04,-0.06,-0.01,0.09,0.16,0.01,0.15,0.09,0.01,0.06,0.16
1958,0.39,0.24,0.11,0.03,0.06,-0.08,0.05,-0.04,-0.02,0.04,0.02,0
1959,0.08,0.09,0.18,0.13,0.04,0.02,0.06,-0.02,-0.06,-0.09,-0.09,-0.02
1960,-0.01,0.16,-0.34,-0.14,-0.07,-0.04,-0.03,0.01,0.07,0.07,-0.12,0.18
1961,0.07,0.19,0.09,0.12,0.11,0.11,0,0.03,0.07,0,0.03,-0.15
1962,0.07,0.14,0.12,0.04,-0.04,0.05,0.02,-0.01,0.01,0,0.07,0
1963,-0.02,0.2,-0.14,-0.06,-0.04,0.05,0.08,0.27,0.2,0.15,0.15,-0.01
1964,-0.08,-0.13,-0.23,-0.31,-0.24,-0.02,-0.03,-0.21,-0.29,-0.31,-0.21,-0.3
1965,-0.07,-0.17,-0.11,-0.19,-0.14,-0.09,-0.12,-0.03,-0.16,-0.05,-0.06,-0.06
1966,-0.17,0,0.05,-0.12,-0.11,0.01,0.09,-0.08,-0.02,-0.15,-0.02,-0.05
1967,-0.06,-0.21,0.04,-0.05,0.15,-0.08,0.01,0.01,-0.06,0.09,-0.06,-0.03
1968,-0.25,-0.15,0.21,-0.05,-0.13,-0.07,-0.12,-0.09,-0.18,0.11,-0.03,-0.12
1969,-0.1,-0.14,0.01,0.18,0.19,0.05,-0.02,0.03,0.09,0.13,0.13,0.28
1970,0.09,0.22,0.08,0.09,-0.04,-0.02,-0.02,-0.09,0.11,0.06,0.02,-0.12
1971,-0.02,-0.19,-0.17,-0.08,-0.05,-0.19,-0.11,-0.03,-0.04,-0.06,-0.05,-0.09
1972,-0.24,-0.16,0.02,0,-0.04,0.06,0.01,0.17,0.02,0.09,0.04,0.19
1973,0.29,0.31,0.27,0.26,0.25,0.18,0.1,0.03,0.1,0.14,0.06,-0.06
1974,-0.15,-0.29,-0.06,-0.12,-0.02,-0.06,-0.05,0.11,-0.11,-0.08,-0.07,-0.09
1975,0.07,0.06,0.13,0.05,0.16,0,-0.01,-0.19,-0.03,-0.09,-0.16,-0.17
1976,-0.01,-0.06,-0.21,-0.08,-0.24,-0.16,-0.1,-0.15,-0.09,-0.26,-0.04,0.1
1977,0.19,0.22,0.25,0.27,0.3,0.24,0.2,0.16,0,0.02,0.17,0.03
1978,0.06,0.14,0.21,0.15,0.06,-0.02,0.03,-0.18,0.05,0,0.15,0.1
1979,0.12,-0.1,0.18,0.13,0.05,0.13,0.02,0.14,0.25,0.24,0.28,0.47
1980,0.3,0.42,0.3,0.33,0.36,0.17,0.28,0.23,0.19,0.18,0.29,0.2
1981,0.55,0.41,0.49,0.31,0.24,0.32,0.34,0.32,0.17,0.14,0.24,0.43
1982,0.1,0.15,-0.01,0.09,0.15,0.05,0.13,0.07,0.14,0.13,0.15,0.43
1983,0.51,0.4,0.42,0.31,0.36,0.2,0.17,0.33,0.39,0.16,0.32,0.17
1984,0.3,0.17,0.29,0.08,0.33,0.05,0.17,0.16,0.21,0.16,0.06,-0.05
1985,0.22,-0.07,0.17,0.11,0.17,0.18,-0.01,0.14,0.15,0.11,0.08,0.15
1986,0.28,0.39,0.27,0.24,0.24,0.11,0.11,0.12,0,0.13,0.11,0.16
1987,0.36,0.45,0.16,0.22,0.25,0.37,0.45,0.28,0.39,0.32,0.25,0.48
1988,0.57,0.43,0.51,0.45,0.43,0.43,0.34,0.47,0.41,0.4,0.12,0.33
1989,0.15,0.35,0.37,0.33,0.16,0.14,0.33,0.37,0.37,0.32,0.2,0.38
1990,0.4,0.41,0.76,0.55,0.46,0.38,0.43,0.3,0.29,0.41,0.45,0.41
1991,0.41,0.49,0.35,0.52,0.37,0.53,0.47,0.39,0.48,0.3,0.31,0.32
1992,0.44,0.42,0.47,0.23,0.32,0.26,0.12,0.07,0,0.09,0.03,0.22
1993,0.37,0.39,0.36,0.27,0.27,0.25,0.28,0.13,0.1,0.22,0.06,0.16
1994,0.27,0.02,0.26,0.4,0.28,0.43,0.31,0.21,0.29,0.41,0.46,0.36
1995,0.51,0.78,0.45,0.47,0.26,0.41,0.47,0.46,0.33,0.47,0.45,0.28
1996,0.25,0.48,0.32,0.36,0.27,0.25,0.36,0.48,0.25,0.19,0.41,0.4
1997,0.32,0.38,0.53,0.36,0.36,0.53,0.35,0.41,0.53,0.62,0.65,0.59
1998,0.6,0.9,0.63,0.63,0.69,0.77,0.68,0.66,0.41,0.44,0.49,0.56
1999,0.48,0.65,0.34,0.32,0.31,0.37,0.37,0.31,0.41,0.39,0.38,0.43
2000,0.24,0.56,0.57,0.57,0.36,0.41,0.39,0.42,0.41,0.28,0.33,0.29
2001,0.42,0.44,0.56,0.51,0.57,0.54,0.6,0.48,0.54,0.51,0.7,0.56
2002,0.75,0.76,0.9,0.56,0.64,0.55,0.61,0.53,0.63,0.55,0.58,0.44
2003,0.73,0.55,0.58,0.53,0.61,0.48,0.53,0.65,0.65,0.74,0.53,0.73
2004,0.59,0.72,0.64,0.62,0.38,0.43,0.24,0.44,0.5,0.63,0.71,0.51
2005,0.72,0.56,0.68,0.67,0.63,0.66,0.64,0.61,0.75,0.76,0.72,0.65
2006,0.56,0.68,0.61,0.49,0.46,0.64,0.52,0.7,0.62,0.67,0.69,0.74
2007,0.95,0.7,0.68,0.73,0.66,0.59,0.6,0.57,0.6,0.57,0.55,0.46
2008,0.22,0.34,0.73,0.51,0.47,0.45,0.59,0.43,0.63,0.63,0.65,0.53
2009,0.61,0.51,0.52,0.58,0.64,0.65,0.7,0.66,0.67,0.63,0.76,0.65
2010,0.73,0.79,0.92,0.85,0.73,0.62,0.59,0.63,0.59,0.69,0.77,0.46
2011,0.48,0.51,0.62,0.62,0.51,0.57,0.7,0.71,0.53,0.63,0.55,0.53
2012,0.45,0.47,0.56,0.68,0.74,0.63,0.54,0.61,0.72,0.75,0.74,0.52
2013,0.66,0.55,0.66,0.53,0.58,0.66,0.57,0.66,0.77,0.67,0.79,0.65
2014,0.73,0.52,0.76,0.77,0.85,0.67,0.56,0.8,0.88,0.81,0.66,0.78
2015,0.81,0.87,0.9,0.74,0.75,0.79,0.71,0.79,0.82,1.07,1.03,1.11
2016,1.15,1.34,1.31,1.08,0.91,0.77,0.82,1,0.88,0.89,0.9,0.82
2017,0.96,1.12,1.12,0.92,0.89,0.71,0.81,0.87,0.76,0.88,0.84,0.88
2018,0.78,0.81,0.91,0.87,0.82,0.75,0.78,0.77,***,***,***,***
